"id","naptime","total_sleep","midpoint_sleep","bedtime_mssd","cum_gpa","term_gpa"
84,86.28571429,377.5357143,423.5178571,0.23578075,3.78399956,3.753846
86,98.28571429,394.3928571,324.125,0.087243179,3.4875,3.646666
89,79.33333333,398.9166667,340.4166667,0.200582336,3.375,2.26923
98,99.10714286,407.3214286,558.7142857,0.889206295,3.370967742,3.966666
108,24.88461538,498.9230769,452.9423077,0.047048889,3.249999679,3.076923
117,63.67857143,390.4642857,366.1964286,1.282576208,3.351724138,2.690909
125,95.92307692,367.8846154,499.6538462,0.800732444,3.279310103,3.766666
132,71.07142857,430.4285714,319.6428571,0.089126276,2.331817364,3.446153
137,42.2962963,392.8518519,390.4444444,0.23569239,3.6599998,3.533333
144,52.85714286,335.1785714,365.3214286,0.141548544,3.35599984,2.871428
149,97.89285714,369.2857143,329.5357143,0.113198826,2.7,3
169,12.57142857,471.3214286,303.8035714,0.02851547,3.543749469,3.517647
174,47.42307692,404.9615385,571.25,0.203303556,2.310344414,3.376923
176,23.37037037,374.8888889,419.2962963,0.215095743,2.249999462,2.870588
305,16.82142857,434.8571429,394.2321429,0.06082114,3.775,3.92
325,36.14285714,353.3214286,413.6964286,0.156672001,3.010952381,3.39
328,98,349.5714286,346.1071429,0.123791724,3.835909091,3.85
357,31.17857143,445.6428571,258.5892857,0.012224127,3.16,3.53
420,57.91666667,336.0416667,328.25,0.066671393,3.156818182,2.9
421,28.28571429,416.1785714,342.125,0.072580018,3.201111111,3.62
433,24.82142857,438.8928571,379.1785714,0.114567139,3.534444444,3.72
455,73.44,373.56,368.72,0.11494213,2.605714286,2.57
457,36.95833333,420.9166667,336.0416667,0.051178324,3.482173913,3.33
466,11.39285714,385.0357143,314.7857143,0.030177564,3.802083333,3.85
470,31.59090909,405.2272727,392.3409091,0.632601411,2.9855,1.55
471,73.32,402.6,384.86,0.080024595,3.800454545,3.25
473,50.37037037,410.1111111,280.537037,0.12400189,3.662727273,3.35
504,41.44444444,335.6296296,377.9259259,1.20157832,2.850714286,2.97
517,32.12,511.8,392.28,0.023310185,3.24,2.8
526,30,409.75,407.5178571,0.019544277,3.26,3.52
551,70.07692308,414.7692308,426.7692308,0.940313778,3.426551724,3.37
305,78.14285714,346.8095238,541.2619048,1.068854167,2.37,2.54
322,23.44827586,447.3793103,267.7758621,0.039987954,4,3.81
615,80.82608696,250.3913043,628.0434783,2.566892792,3.58,2.55
617,18.28571429,320.952381,471.6666667,2.033929167,4,3.63
48,50.88888889,329.037037,389.2222222,0.031665845,3.627272545,3.5
