"id","race","gender","firstgen","total_sleep","university","cum_gpa","term_gpa","midpoint_sleep","naptime"
289,"Underrepresented","Male","Not First-Gen",400.7142857,"Carnegie Mellon University SP 2017",2.76,3.23,526.5238095,60.61904762
109,"Not Underrepresented","Female","Not First-Gen",422.8275862,"Carnegie Mellon University SP 2017",3.09,2.6,415.7068966,8.862068966
176,"Not Underrepresented","Female","Not First-Gen",418.44,"Carnegie Mellon University SP 2017",2.5,2.33,381.1,32.76
214,"Not Underrepresented","Female","Not First-Gen",477.4285714,"Carnegie Mellon University SP 2017",4,4,346.0535714,23.21428571
218,"Not Underrepresented","Female","Not First-Gen",442.1071429,"Carnegie Mellon University SP 2017",4,4,424.3392857,9.714285714
278,"Not Underrepresented","Female","Not First-Gen",266.8333333,"Carnegie Mellon University SP 2017",2.98,3.56,514,162.6666667
305,"Not Underrepresented","Female","Not First-Gen",361.4285714,"Carnegie Mellon University SP 2017",3.52,3.26,430.9107143,15.28571429
306,"Not Underrepresented","Female","Not First-Gen",330.4827586,"Carnegie Mellon University SP 2017",3.56,2.98,439.7758621,37.79310345
116,"Not Underrepresented","Male","Not First-Gen",389.3846154,"Carnegie Mellon University SP 2017",2.82,3.2,440.9615385,23.84615385
120,"Not Underrepresented","Male","Not First-Gen",445.6071429,"Carnegie Mellon University SP 2017",3.8,4,316.5178571,22.28571429
147,"Not Underrepresented","Male","Not First-Gen",394.8666667,"Carnegie Mellon University SP 2017",4,4,339.3333333,67.46666667
164,"Not Underrepresented","Male","Not First-Gen",387.9285714,"Carnegie Mellon University SP 2017",3.26,3.04,421.1964286,31.82142857
171,"Not Underrepresented","Male","Not First-Gen",414.72,"Carnegie Mellon University SP 2017",3.77,3.25,496.16,17.76
175,"Not Underrepresented","Male","Not First-Gen",307.3461538,"Carnegie Mellon University SP 2017",3.4,3.6,295.5384615,17.76923077
183,"Not Underrepresented","Male","Not First-Gen",437.6206897,"Carnegie Mellon University SP 2017",3.41,3.19,472.9655172,24.5862069
249,"Not Underrepresented","Male","Not First-Gen",394.1428571,"Carnegie Mellon University SP 2017",3.61,3.38,539.4821429,17.07142857
310,"Underrepresented","Male","Not First-Gen",398.5,"Carnegie Mellon University SP 2017",3.35,3.38,379.6,7.6
356,"Not Underrepresented","Male","Not First-Gen",303.75,"Carnegie Mellon University SP 2017",3.22,1.38,431.0625,11.875
200,"Not Underrepresented","Female","Not First-Gen",463.9130435,"Carnegie Mellon University SP 2017",3.71,3.77,366,30.60869565
280,"Not Underrepresented","Female","Not First-Gen",352.8125,"Carnegie Mellon University SP 2017",2.33,3.5,435.71875,37.5
194,"Not Underrepresented","Male","Not First-Gen",370.5238095,"Carnegie Mellon University SP 2017",3.76,3.38,451.6904762,27.76190476
311,"Not Underrepresented","Female","Not First-Gen",378.25,"Carnegie Mellon University SP 2017",3.21,2.49,460.7321429,38.21428571
346,"Not Underrepresented","Female","Not First-Gen",361.4736842,"Carnegie Mellon University SP 2017",3.74,3.48,395.7631579,19.89473684
347,"Not Underrepresented","Female","Not First-Gen",445.5862069,"Carnegie Mellon University SP 2017",3.74,3.74,313.4482759,31.89655172
134,"Not Underrepresented","Male","Not First-Gen",430.0833333,"Carnegie Mellon University SP 2017",3.79,3.41,497.0416667,22.33333333
313,"Not Underrepresented","Female","First-Gen",378.0769231,"Carnegie Mellon University SP 2017",3.29,2.47,497,21.65384615
334,"Not Underrepresented","Female","First-Gen",388.8181818,"Carnegie Mellon University SP 2017",3.21,2.6,493.1363636,13.77272727
338,"Not Underrepresented","Female","First-Gen",388.6428571,"Carnegie Mellon University SP 2017",3.29,2.87,442.9642857,47.92857143
309,"Underrepresented","Male","First-Gen",438.6296296,"Carnegie Mellon University SP 2017",2.57,2.4,552.2777778,48.03703704
148,"Not Underrepresented","Female","Not First-Gen",324.6296296,"Carnegie Mellon University SP 2017",2,2.8,371.3333333,21.66666667
180,"Not Underrepresented","Female","Not First-Gen",574.3448276,"Carnegie Mellon University SP 2017",3.49,3.6,353.7758621,15.75862069
202,"Underrepresented","Female","Not First-Gen",300.3793103,"Carnegie Mellon University SP 2017",1.95,3,465.4137931,61.34482759
229,"Not Underrepresented","Female","Not First-Gen",367.7916667,"Carnegie Mellon University SP 2017",3,3.75,560.125,28.41666667
266,"Underrepresented","Female","Not First-Gen",360.6896552,"Carnegie Mellon University SP 2017",3.07,2.4,419.7068966,33.89655172
284,"Not Underrepresented","Female","Not First-Gen",383.32,"Carnegie Mellon University SP 2017",3,3.6,531.98,26.28
287,"Not Underrepresented","Female","Not First-Gen",398.9259259,"Carnegie Mellon University SP 2017",3.39,3.6,442.3518519,21.48148148
288,"Not Underrepresented","Female","Not First-Gen",460.5185185,"Carnegie Mellon University SP 2017",3.57,2.6,324.5185185,24.85185185
292,"Not Underrepresented","Female","Not First-Gen",349.3529412,"Carnegie Mellon University SP 2017",3.39,3.8,473.9411765,14.41176471
302,"Not Underrepresented","Female","Not First-Gen",326.5,"Carnegie Mellon University SP 2017",3.25,3.4,369.2692308,34.80769231
307,"Not Underrepresented","Female","Not First-Gen",399.8928571,"Carnegie Mellon University SP 2017",2.67,3.13,358.8035714,17.39285714
333,"Not Underrepresented","Female","Not First-Gen",360.6086957,"Carnegie Mellon University SP 2017",3.79,4,419.0869565,23.08695652
144,"Not Underrepresented","Male","Not First-Gen",431.2758621,"Carnegie Mellon University SP 2017",3.05,2.73,352.362069,17.79310345
264,"Not Underrepresented","Male","Not First-Gen",411.8636364,"Carnegie Mellon University SP 2017",2.91,3.4,406.2727273,26.13636364
322,"Not Underrepresented","Male","Not First-Gen",421.8928571,"Carnegie Mellon University SP 2017",2.9,3.36,424.8214286,40.92857143
329,"Not Underrepresented","Male","Not First-Gen",465.9285714,"Carnegie Mellon University SP 2017",2.84,3.12,592.5535714,31.71428571
149,"Not Underrepresented","Male","Not First-Gen",402.6521739,"Carnegie Mellon University SP 2017",2.49,2.77,365.1956522,10.52173913
240,"Underrepresented","Male","Not First-Gen",370.4482759,"Carnegie Mellon University SP 2017",3.8,3.22,404.9310345,20.20689655
276,"Not Underrepresented","Female","First-Gen",338.2916667,"Carnegie Mellon University SP 2017",3.43,3.21,362.7916667,11.29166667
157,"Underrepresented","Male","First-Gen",428.6296296,"Carnegie Mellon University SP 2017",2.44,3.07,323.7777778,21.2962963
119,"Underrepresented","Female","Not First-Gen",465.4482759,"Carnegie Mellon University SP 2017",2.7,1.97,315.3275862,15.34482759
136,"Not Underrepresented","Female","Not First-Gen",414.0689655,"Carnegie Mellon University SP 2017",3.23,3.49,432.5,13.96551724
224,"Not Underrepresented","Male","Not First-Gen",345.8928571,"Carnegie Mellon University SP 2017",4,4,414.0714286,21.67857143
300,"Not Underrepresented","Female","Not First-Gen",413.3793103,"Carnegie Mellon University SP 2017",2.96,3.28,386.7068966,41.93103448
242,"Not Underrepresented","Male","Not First-Gen",413.6206897,"Carnegie Mellon University SP 2017",3.49,3.54,420.4310345,17.68965517
282,"Not Underrepresented","Male","Not First-Gen",416.7241379,"Carnegie Mellon University SP 2017",2.93,3.57,384.2413793,44.62068966
341,"Not Underrepresented","Female","Not First-Gen",351.6296296,"Carnegie Mellon University SP 2017",3.5,3.51,408.0555556,5.074074074
124,"Underrepresented","Male","Not First-Gen",444.9130435,"Carnegie Mellon University SP 2017",4,4,347.3913043,30.52173913
312,"Not Underrepresented","Male","Not First-Gen",375.08,"Carnegie Mellon University SP 2017",3.47,3.29,461.54,33.88
297,"Not Underrepresented","Female","Not First-Gen",335.8571429,"Carnegie Mellon University SP 2017",3.27,3.03,610.6666667,72.66666667
110,"Not Underrepresented","Male","Not First-Gen",392.2413793,"Carnegie Mellon University SP 2017",4,4,387.0862069,23.31034483
166,"Underrepresented","Male","Not First-Gen",357.0344828,"Carnegie Mellon University SP 2017",2,1.5,446.7241379,47.06896552
170,"Not Underrepresented","Male","Not First-Gen",348.0833333,"Carnegie Mellon University SP 2017",2.6,3.08,430.3958333,22.08333333
518,"Not Underrepresented","Female","First-Gen",296.95,"Carnegie Mellon SP 2018",4,4,466.825,60.6
653,"Not Underrepresented","Female","First-Gen",313.8695652,"Carnegie Mellon SP 2018",2.98,3.28,402.0217391,64.95652174
2,"Not Underrepresented","Female","First-Gen",587.6666667,"University of Washington SP 2018",3.321428036,3.833333,380.3333333,64.5
6,"Not Underrepresented","Female","First-Gen",406.8846154,"University of Washington SP 2018",3.426666267,3.476923,358.8653846,39.38461538
19,"Not Underrepresented","Female","First-Gen",411.2666667,"University of Washington SP 2018",3.265517103,3.1,349.5333333,27.33333333
32,"Not Underrepresented","Female","First-Gen",405.2142857,"University of Washington SP 2018",3.17999955,3.5,363.25,39.57142857
33,"Not Underrepresented","Female","First-Gen",396.5,"University of Washington SP 2018",2.566666,2.992307,410.7678571,75.60714286
34,"Not Underrepresented","Female","First-Gen",389,"University of Washington SP 2018",3.740740481,3.478571,300.4666667,24.26666667
37,"Not Underrepresented","Female","First-Gen",434,"University of Washington SP 2018",3.6999995,3.192857,343.3214286,8.642857143
42,"Not Underrepresented","Female","First-Gen",425.4642857,"University of Washington SP 2018",3.799999864,3.95,334.0535714,25.96428571
43,"Not Underrepresented","Female","First-Gen",394.8928571,"University of Washington SP 2018",3.6999995,3.866666,362.7142857,13.10714286
44,"Underrepresented","Female","First-Gen",469.5,"University of Washington SP 2018",3.126470529,2.728571,473.8958333,31.29166667
50,"Not Underrepresented","Female","First-Gen",412.5555556,"University of Washington SP 2018",3.599999619,3.435714,323.7962963,68.55555556
78,"Not Underrepresented","Female","First-Gen",408.5555556,"University of Washington SP 2018",3.499999667,3.466666,397.1666667,34.51851852
80,"Not Underrepresented","Female","First-Gen",430.037037,"University of Washington SP 2018",3.65,3.527777,436.7407407,43.33333333
82,"Not Underrepresented","Female","First-Gen",398.5,"University of Washington SP 2018",3.796551103,3.666666,343.8392857,21.67857143
84,"Not Underrepresented","Female","First-Gen",377.5357143,"University of Washington SP 2018",3.78399956,3.753846,423.5178571,86.28571429
86,"Not Underrepresented","Female","First-Gen",394.3928571,"University of Washington SP 2018",3.4875,3.646666,324.125,98.28571429
89,"Not Underrepresented","Female","First-Gen",398.9166667,"University of Washington SP 2018",3.375,2.26923,340.4166667,79.33333333
98,"Not Underrepresented","Female","First-Gen",407.3214286,"University of Washington SP 2018",3.370967742,3.966666,558.7142857,99.10714286
108,"Not Underrepresented","Female","First-Gen",498.9230769,"University of Washington SP 2018",3.249999679,3.076923,452.9423077,24.88461538
117,"Not Underrepresented","Female","First-Gen",390.4642857,"University of Washington SP 2018",3.351724138,2.690909,366.1964286,63.67857143
125,"Not Underrepresented","Female","First-Gen",367.8846154,"University of Washington SP 2018",3.279310103,3.766666,499.6538462,95.92307692
132,"Underrepresented","Female","First-Gen",430.4285714,"University of Washington SP 2018",2.331817364,3.446153,319.6428571,71.07142857
137,"Underrepresented","Female","First-Gen",392.8518519,"University of Washington SP 2018",3.6599998,3.533333,390.4444444,42.2962963
144,"Not Underrepresented","Female","First-Gen",335.1785714,"University of Washington SP 2018",3.35599984,2.871428,365.3214286,52.85714286
149,"Underrepresented","Female","First-Gen",369.2857143,"University of Washington SP 2018",2.7,3,329.5357143,97.89285714
169,"Underrepresented","Female","First-Gen",471.3214286,"University of Washington SP 2018",3.543749469,3.517647,303.8035714,12.57142857
174,"Not Underrepresented","Female","First-Gen",404.9615385,"University of Washington SP 2018",2.310344414,3.376923,571.25,47.42307692
176,"Not Underrepresented","Female","First-Gen",374.8888889,"University of Washington SP 2018",2.249999462,2.870588,419.2962963,23.37037037
305,"Not Underrepresented","Female","First-Gen",434.8571429,"University of Washington SP 2019",3.775,3.92,394.2321429,16.82142857
325,"Not Underrepresented","Female","First-Gen",353.3214286,"University of Washington SP 2019",3.010952381,3.39,413.6964286,36.14285714
328,"Not Underrepresented","Female","First-Gen",349.5714286,"University of Washington SP 2019",3.835909091,3.85,346.1071429,98
357,"Not Underrepresented","Female","First-Gen",445.6428571,"University of Washington SP 2019",3.16,3.53,258.5892857,31.17857143
420,"Not Underrepresented","Female","First-Gen",336.0416667,"University of Washington SP 2019",3.156818182,2.9,328.25,57.91666667
421,"Not Underrepresented","Female","First-Gen",416.1785714,"University of Washington SP 2019",3.201111111,3.62,342.125,28.28571429
433,"Not Underrepresented","Female","First-Gen",438.8928571,"University of Washington SP 2019",3.534444444,3.72,379.1785714,24.82142857
455,"Not Underrepresented","Female","First-Gen",373.56,"University of Washington SP 2019",2.605714286,2.57,368.72,73.44
457,"Not Underrepresented","Female","First-Gen",420.9166667,"University of Washington SP 2019",3.482173913,3.33,336.0416667,36.95833333
466,"Underrepresented","Female","First-Gen",385.0357143,"University of Washington SP 2019",3.802083333,3.85,314.7857143,11.39285714
470,"Not Underrepresented","Female","First-Gen",405.2272727,"University of Washington SP 2019",2.9855,1.55,392.3409091,31.59090909
471,"Underrepresented","Female","First-Gen",402.6,"University of Washington SP 2019",3.800454545,3.25,384.86,73.32
